
 ps_partkey  ps_suppkey  l_orderkey  l_linenumber 
        799          64       38212             5 
        351          80       38212             6 
       1062          63       38212             7 
       1007          13       38213             1 
       1694          36       38213             2 
       1620          44       38213             3 
       1729          56       38213             4 
        495          96       38213             5 
        378          63       38213             6 
        798          63       38214             1 
        860          60       38214             2 
       1538          59       38214             3 
       1456          57       38215             1 
        168          69       38215             2 
         36          37       38215             3 
        531          32       38215             4 
       1814          15       38215             5 
        790          87       38215             6 
        125          26       38240             1 
        152          31       38240             2 
        177          30       38240             3 
        860          60       38240             4 
       1666          49       38241             1 
        856          23       38241             2 
       1143          52       38242             1 
        440          41       38242             2 
       1215          27       38242             3 
       1721          64       38242             4 
       1497          98       38242             5 
        462          21       38242             6 
        146          73       38242             7 
       1536          77       38243             1 
        743          40       38243             2 
        664          27       38243             3 
        312          97       38243             4 
       1139          12       38244             1 
       1689          31       38244             2 
        891          58       38244             3 
        332          61       38244             4 
       1391          68       38245             1 
         98          74       38246             1 
       1253          28       38246             2 
         80          31       38246             3 
       1558          59       38246             4 
       1574          75       38247             1 
       1435          53       38247             2 
        351          52       38272             1 
        691          85       38272             2 
       1986          75       38272             3 
        179          32       38273             1 
       1353          92       38273             2 
       1703          46       38274             1 
        164          43       38274             2 
        311          40       38274             3 
       1723          24       38274             4 
       1404           5       38274             5 
        507           8       38275             1 
       1896          97       38275             2 
       1579          60       38275             3 
       1628          52       38275             4 
        482          41       38275             5 
       1758          43       38275             6 
       1012          18       38275             7 
       1779          22       38276             1 
        434          93       38276             2 
        474           4       38276             3 
       1287          99       38276             4 
        615          16       38276             5 
       1522          23       38277             1 
        911          14       38277             2 
       1227           2       38278             1 
       1247          59       38279             1 
        220          48       38279             2 
       1730          57       38279             3 
        923          92       38279             4 
        991          26       38279             5 
       1532          73       38304             1 
        400          29       38304             2 
       1268           6       38304             3 
        688          51       38304             4 
        919          22       38305             1 
       1378          55       38305             2 
       1953          86       38305             3 
        473          32       38305             4 
       1876          63       38306             1 
        776          73       38306             2 
        500          30       38306             3 
       1766           9       38306             4 
       1197          34       38306             5 
        302           3       38307             1 
        655          18       38307             2 
       1734          77       38308             1 
       1064          70       38308             2 
        655          18       38308             3 
       1150          51       38308             4 
       1968          69       38308             5 
        763          64       38308             6 
        182           9       38308             7 
        446          76       38309             1 
       1930          75       38309             2 
       1251          26       38309             3 
        839          40       38309             4 
        210          11       38309             5 
        894          61       38309             6 
       1174          75       38309             7 
       1533          54       38310             1 
        526          57       38310             2 
        674          68       38310             3 
       1547          68       38311             1 
       1129          66       38311             2 
       1421          22       38311             3 
       1355          56       38311             4 
        926          61       38311             5 
        531          32       38311             6 
       1615          98       38336             1 
        679          80       38336             2 
       1583          64       38336             3 
        928          29       38337             1 
        954          55       38337             2 
       1453          54       38337             3 
       1937          82       38337             4 
        844          45       38338             1 
       1197          34       38338             2 
        255          37       38338             3 
       1715          42       38338             4 
       1846          33       38338             5 
        416          46       38339             1 
        409          68       38339             2 
        930          65       38339             3 
       1687          29       38340             1 
        668          69       38340             2 
       1917          62       38340             3 
        385          42       38341             1 
        137          16       38341             2 
        896          97       38341             3 
        392          21       38341             4 
        109          88       38342             1 
        529          60       38342             2 
         38          39       38342             3 
       1890          34       38342             4 
       1203          41       38343             1 
       1962          51       38368             1 
        309          94       38369             1 
        591          22       38369             2 
        717          14       38369             3 
         96          47       38369             4 
        839          39       38370             1 
       1346          23       38370             2 
       1319          58       38370             3 
       1175          84       38370             4 
        627          90       38370             5 
        292          47       38371             1 
        991          94       38372             1 
       1739          82       38372             2 
        316          17       38372             3 
        500           1       38372             4 
        792          57       38372             5 
       1352          53       38373             1 
       1164          73       38373             2 
       1284          85       38373             3 
        235          90       38373             4 
        205           6       38373             5 
       1319          58       38373             6 
       1298          73       38374             1 
        725          22       38374             2 
        858          25       38374             3 
       1339          40       38374             4 
       1128          37       38374             5 
       1013          49       38374             6 
        547           8       38375             1 
        371         100       38400             1 
       1060          66       38400             2 
       1096          32       38400             3 
        671          65       38400             4 
       1631          32       38400             5 
        846          47       38400             6 
        432          20       38400             7 
        750          47       38401             1 
        273           1       38401             2 
        429          88       38401             3 
        232          14       38401             4 
       1509          30       38402             1 
       1236          74       38402             2 
       1818          19       38402             3 
        965          34       38402             4 
        230          85       38402             5 
       1590          11       38402             6 
        823          90       38402             7 
       1587          28       38403             1 
       1122          31       38403             2 
       1041          42       38403             3 
       1853          54       38403             4 
        277          32       38404             1 
       1245          83       38405             1 
        250           5       38405             2 
       1105          78       38405             3 
       1925          26       38405             4 
        811          11       38405             5 
       1491          92       38405             6 
        116          17       38405             7 
       1327           4       38406             1 
       1928          29       38406             2 
        656          57       38406             3 
       1670          12       38406             4 
       1561          82       38406             5 
        302           3       38406             6 
       1482          22       38406             7 
        432          91       38407             1 
       1680          63       38407             2 
       1755          56       38407             3 
       1858           2       38407             4 
       1738          39       38432             1 
        375           4       38432             2 
       1490          69       38432             3 
       1541          42       38433             1 
       1601          84       38433             2 
       1030          31       38433             3 
       1029          35       38433             4 
        984          53       38433             5 
       1441          20       38434             1 
       1505           6       38434             2 
       1656          39       38434             3 
       1929          62       38435             1 
        900          67       38436             1 
       1205          17       38436             2 
        387          88       38436             3 
       1614          97       38437             1 
       1529          30       38437             2 
        945          48       38437             3 
        974          75       38437             4 
        990          91       38438             1 
         24         100       38438             2 
        974          77       38438             3 
       1285          86       38438             4 
       1609          51       38438             5 
        603           4       38439             1 
        325          26       38439             2 
       1918           7       38439             3 
        366          95       38464             1 
        278          79       38464             2 
       1863          64       38464             3 
        726          23       38465             1 
       1763          90       38465             2 
        468          27       38466             1 
        508          69       38466             2 
        603          35       38466             3 
       1622           5       38466             4 
        810          44       38466             5 
       1224          36       38466             6 
       1969          70       38467             1 
        357          86       38467             2 
       1783          68       38468             1 
       1337          38       38468             2 
        824          58       38469             1 
       1738          39       38470             1 
        642          43       38470             2 
       1845          46       38470             3 
        253          35       38470             4 
       1131          32       38470             5 
         40          66       38470             6 
       1709          10       38470             7 
       1905          38       38471             1 
       1401          19       38471             2 
        537          38       38471             3 
       1664          88       38471             4 
       1885          29       38471             5 
       1907          52       38471             6 
        223           5       38471             7 
       1548          49       38496             1 
        758          23       38496             2 
       1224          62       38496             3 
       1357          72       38496             4 
        770          67       38496             5 
        590          81       38496             6 
       1463          42       38496             7 
       1882          26       38497             1 
        500          88       38497             2 
       1241          79       38497             3 
       1591          12       38498             1 
        641           4       38498             2 
       1241          53       38498             3 
        151          52       38498             4 
       1996          97       38498             5 
        181          60       38499             1 
        875          76       38500             1 
        744          41       38501             1 
        180           7       38501             2 
       1799          84       38501             3 
        995          64       38502             1 
        102          81       38502             2 
        766          67       38502             3 
       1317          94       38502             4 
       1457          75       38502             5 
        689          83       38503             1 
        361          90       38503             2 
        200          27       38503             3 
        736           1       38503             4 
        971          74       38503             5 
        350          51       38528             1 
       1765          92       38528             2 
         86          87       38528             3 
        823          90       38528             4 
       1922          23       38528             5 
        591          52       38528             6 
        256          57       38528             7 
       1417          18       38529             1 
        713          78       38529             2 
       1366           5       38529             3 
        730          63       38529             4 
        319           4       38529             5 
       1878          22       38529             6 
       1934          67       38530             1 
        742          75       38530             2 
       1003           9       38530             3 
        481          40       38530             4 
       1561          82       38530             5 
        237          38       38530             6 
       1452          53       38530             7 
        413          43       38531             1 
        123          50       38531             2 
       1006          77       38531             3 
       1362          63       38531             4 
        374           3       38531             5 
       1271          72       38531             6 
       1971          16       38532             1 
       1839          83       38532             2 
        992          95       38532             3 
       1097           3       38532             4 
       1654          78       38532             5 
        244          26       38533             1 
       1150          87       38533             2 
        696          97       38533             3 
       1837          24       38533             4 
       1075          11       38533             5 
        765          30       38534             1 
       1705          90       38534             2 
       1395          96       38534             3 
        416           4       38534             4 
        617          18       38534             5 
       1937          82       38534             6 
       1556          97       38534             7 
       1348          25       38535             1 
        737           2       38560             1 
       1433          73       38560             2 
       1092          28       38560             3 
       1574          15       38560             4 
        642           5       38560             5 
          8           9       38560             6 
       1804           5       38561             1 
       1756          83       38561             2 
        466          67       38562             1 
        329          30       38562             2 
       1137          38       38563             1 
       1471          50       38563             2 
        172          51       38563             3 
        955          90       38564             1 
        265          66       38564             2 
       1350          51       38564             3 
       1201          76       38564             4 
       1781           8       38564             5 
       1056          27       38564             6 
        464          65       38564             7 
       1822          66       38565             1 
       1431          71       38565             2 
       1552          93       38565             3 
         76          27       38565             4 
        441          42       38565             5 
        157          84       38565             6 
       1758          59       38565             7 
       1917          62       38566             1 
         23          49       38566             2 
       1792          19       38566             3 
        684          85       38567             1 
        244          72       38567             2 
       1270          71       38567             3 
       1284          59       38567             4 
        606          69       38567             5 
       1967         100       38567             6 
       1861           5       38592             1 
        492          80       38593             1 
       1619           2       38593             2 
        246           1       38593             3 
       1920          65       38594             1 
       1823          10       38594             2 
         63          14       38594             3 
        483          42       38594             4 
         78          29       38595             1 
       1883          84       38596             1 
       1802          89       38597             1 
        672          73       38597             2 
        713          46       38597             3 
       1641          65       38597             4 
        558          19       38597             5 
       1181          54       38597             6 
       1937          26       38597             7 
       1425          43       38598             1 
       1722          23       38598             2 
       1531          12       38598             3 
       1659          42       38598             4 
        583          44       38598             5 
       1694          36       38599             1 
        295          23       38599             2 
        502          33       38599             3 
       1839          40       38624             1 
       1791          76       38624             2 
       1923          12       38624             3 
       1648          49       38624             4 
       1745          72       38625             1 
        506          97       38625             2 
        770          71       38625             3 
        781          82       38625             4 
        215          16       38625             5 
        878          12       38626             1 
       1573          74       38626             2 
       1212          13       38626             3 
       1636          78       38626             4 
        122          49       38626             5 
         51           2       38627             1 
        894          94       38628             1 
         12          13       38629             1 
       1333          48       38629             2 
       1417          57       38629             3 
        790          91       38629             4 
       1847          48       38629             5 
        467          55       38629             6 
        501          32       38630             1 
        783          80       38630             2 
        643          75       38630             3 
       1728          55       38630             4 
         61          87       38630             5 
        766          31       38630             6 
        784          49       38630             7 
        608           2       38631             1 
       1846          76       38631             2 
        363          48       38631             3 
       1648          90       38631             4 
       1569          50       38631             5 
       1092          98       38631             6 
        132          59       38631             7 
        237          19       38656             1 
       1196          69       38656             2 
       1511          32       38656             3 
       1355          94       38656             4 
       1154          27       38656             5 
        639          71       38657             1 
        849          50       38657             2 
       1034           5       38657             3 
        222          50       38658             1 
       1894          24       38658             2 
        589          80       38658             3 
       1898          28       38659             1 
         59          60       38659             2 
        504          95       38659             3 
        715          80       38659             4 
       1636          37       38659             5 
        843          77       38659             6 
       1770          71       38660             1 
        465          24       38660             2 
        429          17       38661             1 
        686          80       38661             2 
       1477          95       38661             3 
       1876           6       38661             4 
       1144          45       38661             5 
       1093          64       38661             6 
        468          98       38661             7 
       1611          35       38662             1 
       1808          95       38662             2 
        822          56       38662             3 
       1298          99       38663             1 
        113          40       38663             2 
        693          87       38688             1 
        920          21       38688             2 
       1243          18       38688             3 
        267          22       38688             4 
       1721           6       38688             5 
       1593          74       38689             1 
       1537          38       38689             2 
        194          21       38689             3 
        531          32       38690             1 
       1756          83       38690             2 
       1413          53       38690             3 
        568          59       38690             4 
       1432          11       38691             1 
        177          56       38692             1 
        460          48       38693             1 
       1325          26       38694             1 
        479           9       38694             2 
        127          28       38695             1 
       1758          59       38720             1 
        323          52       38720             2 
         48          99       38720             3 
       1749          34       38720             4 
       1818          19       38720             5 
        182          83       38721             1 
         96          72       38721             2 
         26          27       38721             3 
       1187          88       38721             4 
       1595          76       38721             5 
       1724           9       38721             6 
        930          33       38721             7 
       1610          34       38722             1 
        136          63       38722             2 
       1368           7       38722             3 
       1978          67       38722             4 
       1883          27       38722             5 
       1035           6       38722             6 
       1382          83       38723             1 
       1680          22       38723             2 
       1211          86       38723             3 
       1604          46       38723             4 
        634          35       38723             5 
       1220          95       38724             1 
       1281          19       38725             1 
        519          20       38725             2 
       1667          68       38725             3 
       1853          40       38725             4 
         93          19       38726             1 
        699          31       38726             2 
        470          71       38726             3 
        897          64       38726             4 
       1492          93       38726             5 
        661          55       38726             6 
        967          70       38727             1 
       1768          69       38727             2 
        899          66       38727             3 
       1817           4       38727             4 
          7           8       38752             1 
       1783          68       38752             2 
        476          77       38752             3 
        876          77       38752             4 
       1981          26       38752             5 
         90          16       38753             1 
       1343          20       38753             2 
        116          95       38753             3 
       1386           1       38753             4 
       1605          29       38753             5 
       1598          19       38753             6 
       1832          19       38754             1 
       1479          80       38754             2 
       1269           7       38754             3 
       1054          55       38755             1 
        997          98       38755             2 
        652          84       38755             3 
       1229          30       38755             4 
        783          16       38756             1 
       1708           9       38756             2 
       1254          92       38756             3 
        894          95       38756             4 
       1035          36       38756             5 
       1165          74       38757             1 
       1036          42       38757             2 
       1780           7       38757             3 
       1590          71       38757             4 
       1052          53       38758             1 
        376          61       38758             2 
        470          58       38758             3 
        785          50       38758             4 
       1297           9       38758             5 
       1596          17       38758             6 
        818          19       38759             1 
         21          97       38759             2 
        392          93       38759             3 
        196          75       38759             4 
        912          81       38759             5 
        297          79       38784             1 
       1625          49       38785             1 
       1088          94       38785             2 
       1563          64       38786             1 
        200          79       38786             2 
        203          58       38787             1 
        637          38       38787             2 
        995          96       38787             3 
        185          38       38787             4 
        803          70       38787             5 
       1120          21       38788             1 
        470          29       38788             2 
        957          26       38789             1 
       1818          62       38789             2 
        745          42       38789             3 
        351           8       38789             4 
       1849          36       38789             5 
       1664          65       38789             6 
       1507          48       38789             7 
         30          31       38790             1 
        650          13       38790             2 
       1934          23       38790             3 
       1130          31       38790             4 
       1341          42       38790             5 
        269          97       38791             1 
       1714          41       38816             1 
        481          82       38816             2 
       1409          49       38816             3 
        750          51       38816             4 
       1709          94       38816             5 
       1131          68       38817             1 
        436          24       38817             2 
       1039          40       38817             3 
        594          95       38817             4 
         91          17       38818             1 
        584          75       38818             2 
        425          84       38818             3 
        238          39       38818             4 
          7          83       38818             5 
       1216          28       38819             1 
       1450          68       38820             1 
       1304           5       38821             1 
       1304           5       38821             2 
        330          31       38821             3 
       1926          71       38821             4 
        230          85       38821             5 
        271          53       38822             1 
        480          10       38822             2 
        382          83       38823             1 
       1716           1       38823             2 
       1574          15       38848             1 
       1443          83       38848             2 
       1806          50       38849             1 
       1115          16       38849             2 
       1285          97       38849             3 
        489          90       38849             4 
       1702          29       38849             5 
       1549          70       38849             6 
        769          34       38849             7 
        933          68       38850             1 
        381          10       38850             2 
        946          49       38850             3 
       1828          29       38850             4 
       1448          27       38850             5 
        380           9       38850             6 
        540           1       38850             7 
       1049          85       38851             1 
        672          35       38851             2 
        478          79       38852             1 
       1165           2       38852             2 
       1180          89       38852             3 
        513           4       38852             4 
       1586          87       38852             5 
       1369          46       38852             6 
        396          81       38852             7 
        647          48       38853             1 
        988          91       38853             2 
        529          90       38853             3 
       1199         100       38853             4 
        934          69       38853             5 
       1083          89       38854             1 
        612          44       38854             2 
       1743          44       38854             3 
        526          57       38854             4 
       1110          47       38854             5 
         48          24       38855             1 
       1451          52       38855             2 
       1331           8       38855             3 
       1794          79       38855             4 
        166          93       38880             1 
       1100          71       38880             2 
       1084          90       38880             3 
        398          83       38880             4 
        210          11       38880             5 
         38          14       38881             1 
       1977          22       38881             2 
        910          79       38881             3 
        486          74       38881             4 
       1502          43       38881             5 
       1950          83       38881             6 
        601          33       38881             7 
       1539          80       38882             1 
        650          44       38882             2 
        429          30       38882             3 
       1897          84       38882             4 
        664          58       38882             5 
       1117          54       38883             1 
       1956          45       38883             2 
        564          55       38883             3 
        696          90       38884             1 
       1853          83       38884             2 
        826          60       38884             3 
        158          85       38884             4 
        404          34       38884             5 
        362          47       38885             1 
       1375          14       38886             1 
        109          62       38886             2 
        576          77       38886             3 
       1898          99       38886             4 
       1543          24       38887             1 
        836          37       38887             2 
       1750          93       38887             3 
        165          92       38887             4 
        976          11       38887             5 
       1658          41       38887             6 
       1272          10       38912             1 
       1459          60       38912             2 
       1819           6       38912             3 
       1761          62       38912             4 
        529          60       38912             5 
       1808           9       38912             6 
       1411          12       38913             1 
       1846          76       38913             2 
        768           1       38913             3 
        129          30       38914             1 
       1733          76       38914             2 
         46          22       38914             3 
        283          38       38915             1 
       1563          84       38915             2 
       1426           5       38915             3 
       1633          34       38915             4 
        463          64       38915             5 
       1790          33       38915             6 
        418           6       38915             7 
       1648          90       38916             1 
       1270          71       38916             2 
       1233          34       38916             3 
        264          65       38916             4 
       1127          36       38916             5 
        837          37       38916             6 
        356          85       38917             1 
        340          25       38917             2 
       1194          31       38917             3 
       1329           6       38917             4 
       1872          59       38917             5 
       1536          57       38917             6 
       1365          42       38917             7 
       1962          95       38918             1 
       1017          53       38918             2 
        584          75       38918             3 
        527          18       38918             4 
       1672          96       38918             5 
       1123          60       38918             6 
       1476          16       38919             1 
       1386          25       38919             2 
        927          30       38944             1 
        736          69       38944             2 
       1263          75       38944             3 
        437          96       38944             4 
       1645          28       38944             5 
       1362          39       38944             6 
       1098           4       38945             1 
       1935          36       38945             2 
       1972          61       38945             3 
       1348          87       38946             1 
        497          85       38947             1 
       1697          39       38947             2 
       1899         100       38947             3 
       1476          55       38947             4 
        752          85       38947             5 
       1070          41       38948             1 
        216          98       38948             2 
       1448          88       38948             3 
       1971          60       38949             1 
        957          26       38949             2 
        166          45       38949             3 
        605           6       38949             4 
        396          25       38949             5 
       1581          62       38949             6 
        780          77       38950             1 
       1178          51       38950             2 
        374           3       38950             3 
       1199          36       38950             4 
       1774           1       38950             5 
         77           3       38951             1 
        668          31       38951             2 
        939           8       38951             3 
        602          65       38951             4 
         10          61       38951             5 
        293          75       38951             6 
       1355          56       38976             1 
        905           8       38976             2 
       1237          75       38976             3 
       1520           1       38976             4 
        133          60       38976             5 
       1470          49       38976             6 
        212          94       38977             1 
       1133           6       38977             2 
       1523           4       38977             3 
        313          42       38977             4 
       1669          93       38977             5 
       1445          85       38977             6 
       1130          39       38978             1 
        438          97       38979             1 
        906          41       38979             2 
       1561          82       38979             3 
        427          28       38979             4 
       1510          51       38979             5 
        336          65       38979             6 
       1392           7       38980             1 
        257          39       38980             2 
        825          26       38980             3 
        763          60       38980             4 
        380          65       38980             5 
        182          61       38981             1 
        785          50       38981             2 
       1440          58       38981             3 
       1029          65       38981             4 
        510          11       38982             1 
       1163          36       38982             2 
       1885          29       38982             3 
       1874           4       38982             4 
       1070          41       38982             5 
        170          23       38983             1 
       1004          40       38983             2 
       1913           2       39008             1 
        838          72       39008             2 
        645           8       39008             3 
       1539          20       39009             1 
       1473          52       39009             2 
        714          79       39009             3 
       1519          20       39010             1 
         52          78       39010             2 
       1436          76       39010             3 
       1602          44       39010             4 
       1738          39       39011             1 
       1135          36       39012             1 
       1053          54       39013             1 
        306          63       39013             2 
        961          64       39014             1 
       1250          51       39014             2 
       1225         100       39014             3 
        181          34       39015             1 
        711          76       39015             2 
       1673          74       39015             3 
       1765          66       39015             4 
       1039          75       39015             5 
        750          83       39015             6 
       1345          22       39040             1 
        711          44       39040             2 
       1472          90       39040             3 
        360          89       39040             4 
        190          69       39041             1 
        382          67       39041             2 
       1769          96       39041             3 
       1990          23       39041             4 
        819          53       39041             5 
        823          57       39041             6 
       1310          11       39042             1 
        816          17       39042             2 
        603          97       39043             1 
        257          58       39043             2 
        398          83       39043             3 
       1652          35       39043             4 
        829          29       39044             1 
       1050          86       39044             2 
       1202          40       39045             1 
         33          84       39045             2 
        392          93       39045             3 
         52          78       39045             4 
         40          16       39045             5 
       1172          81       39045             6 
        742          75       39046             1 
        130          31       39046             2 
       1045          46       39046             3 
        393          22       39047             1 
       1545          26       39072             1 
        367          68       39073             1 
       1885          72       39073             2 
        190          17       39073             3 
        997          98       39073             4 
        862          63       39074             1 
        750          83       39074             2 
        557          48       39074             3 
       1048          84       39074             4 
       1202          77       39074             5 
        838          72       39074             6 
        458          46       39075             1 
       1950          83       39075             2 
        692          93       39075             3 
       1267           5       39075             4 
        434          22       39075             5 
       1146          19       39075             6 
        369          26       39076             1 
       1803           4       39076             2 
        435          23       39076             3 
       1339          78       39076             4 
       1512          33       39076             5 
       1344          59       39076             6 
       1058          29       39076             7 
        238          93       39077             1 
       1733          60       39077             2 
        110          89       39077             3 
       1257          32       39077             4 
        462          63       39077             5 
       1172          81       39077             6 
        865          32       39078             1 
         34          60       39078             2 
       1823          24       39078             3 
